32302,69814
115215,66543
104168,88632
59633,100489
53058,99922
110555,38899
4076,82148
71741,68217
92910,105598
111415,82107
94760,72884
58545,79461
41890,70238
57683,83339
68404,77088
113365,99257
15422,103618
102055,59503
119136,102752
49185,56857
66266,100106
48323,60735
114476,75108
35877,97277
55086,58994
1063,82291
84312,29252
92497,98325
28730,63198
21819,112399
30580,30484
75541,52653
79462,88862
115263,59687
6824,27272
83137,75721
74802,61218
12459,89795
76652,28504
99917,82521
44638,15362
35015,101155
94808,66028
105705,98509
65394,45470
11371,68767
115564,96136
62381,45613
90710,13382
25655,78551
17320,64048
94385,241
89770,75338
23707,14315
38076,94156
108453,43633
6062,81014
24567,57523
7912,48300
95257,54877
75890,82246
94395,58755
3252,20656
26517,74673
52134,79034
36903,3071
53984,46320
85897,32273
121962,80266
35963,65027
27628,50524
72589,72693
91798,34410
112263,86583
118312,41260
5649,73741
65442,38614
58531,87815
67292,5900
35053,35785
116174,64278
1039,32131
40824,39280
119849,51137
111514,36634
49171,65211
113364,3920
59429,65653
81350,121222
71727,76571
7960,41444
118761,30109
102106,20886
45371,80775
28716,71552
99093,21029
1150,25390
62367,53967
54032,39464
7537,106101
24618,18906
57707,26323
74788,69572
21605,19049
42774,56430
61279,32939
44624,23716
5697,66885
112602,57662
82035,63047
39964,126516
63229,50089
43158,92250
73615,108931
90696,21736
18033,12433
112986,93482
94371,8595
64340,25940
109301,48109
4950,9826
25415,61999
53160,115272
42361,49157
78162,19982
95243,63231
101292,17908
71765,11201
5334,45646
35039,44139
77536,14696
33001,26553
674,18002
107579,8779
23804,15928
96141,41069
91358,8738
108439,51987
66368,115456
31913,5525
112114,38846
82083,56191
65428,46968
12245,126889
115734,38606
99079,29383
90744,14880
44249,81517
12930,68714
94419,1739
111500,44988
58317,124909
55494,37798
97991,8355
81336,129576
42409,42301
1762,39030
118747,38463
76676,101932
118925,30249
101566,35818
110327,84347
1136,33744
54745,118293
26138,68898
7523,114455
101052,1356
19741,60117
119534,23042
59415,74007
89872,90688
79073,24573
114874,125842
5683,75239
14444,123768
108477,117061
39334,57654
71751,19555
114248,120556
69713,1969
37386,123862
18019,20787
11444,20220
30989,115081
4510,114598
21591,27403
103080,90872
68625,111385
25266,14262
16931,130203
276,120980
70653,70457
50582,112618
33927,103395
78384,19172
78249,93525
49642,44130
7571,107599
24652,20404
95029,100325
92206,13214
11143,114215
115336,11140
79121,17717
14818,101074
31899,13879
110676,113940
32077,5665
14718,11234
20767,96355
37848,9160
91457,93709
60890,99094
44235,89871
33188,111960
56453,35533
100742,104770
117823,17575
3024,66104
115785,130433
28026,101258
42395,50655
23780,96212
21629,92477
1558,4194
108463,125415
27400,95972
82433,113781
71386,5426
54731,126647
48156,126080
22013,128297
41222,90014
58303,2819
90720,95164
78633,129345
61978,120122
53643,105619
36988,96396
58965,120265
87294,88034
70639,78811
10520,129776
90969,74893
108050,118142
44283,83015
61364,126264
105037,118285
5358,119074
66839,94375
50184,85152
91841,129529
51530,76490
68611,119739
23828,89356
23101,18881
48718,23242
57479,71771
74560,115020
104177,75077
97602,74510
78235,101879
69900,87376
69173,16901
13894,80186
